a,b,c,d,a² + b² + c²,d²,Match?
968,234255,27438171024,27438171025,752853229197149550625,752853229197149550625,YES
824,169743,14406682512,14406682513,207552501030379995169,207552501030379995169,YES
497,123504,7626742512,7626742513,58167201359601555169,58167201359601555169,YES
789,311260,48441705060,48441705061,2346598789216913013721,2346598789216913013721,YES
657,215824,23290215312,23290215313,542434129325899687969,542434129325899687969,YES
465,108112,5844210384,5844210385,34154795024141848225,34154795024141848225,YES
471,110920,6151734120,6151734121,37843832695475642641,37843832695475642641,YES
30,224,12768,12770,163072900,163072900,YES
188,8835,39046284,39046285,1524612372301225,1524612372301225,YES
216,11663,68036112,68036113,4628912672148769,4628912672148769,YES
821,337020,56791577220,56791577221,3225283243248806082841,3225283243248806082841,YES
575,165312,13664193984,13664193985,186710197259710180225,186710197259710180225,YES
233,27144,368425512,368425513,135737358629313169,135737358629313169,YES
850,180624,8156437968,8156437970,66527480358457720900,66527480358457720900,YES
324,26243,344400012,344400013,118611368954400169,118611368954400169,YES
492,60515,1831153644,1831153645,3353123671596786025,3353123671596786025,YES
428,45795,1048682604,1048682605,1099735206029586025,1099735206029586025,YES
286,20448,104550624,104550626,10930833396991876,10930833396991876,YES
159,12640,79897440,79897441,6383601078348481,6383601078348481,YES
363,65884,2170416612,2170416613,4710708273986391769,4710708273986391769,YES
11,60,1860,1861,3463321,3463321,YES
873,381064,72605267112,72605267113,5271524812550079354769,5271524812550079354769,YES
590,87024,1893381168,1893381170,3584892254910568900,3584892254910568900,YES
358,32040,256672440,256672442,65880742482243364,65880742482243364,YES
944,222783,24816578112,24816578113,615862549238630640769,615862549238630640769,YES
544,73983,2736890112,2736890113,7490567490637152769,7490567490637152769,YES
948,224675,25239877164,25239877165,637051399304288437225,637051399304288437225,YES
501,125500,7875250500,7875250501,62019570453500751001,62019570453500751001,YES
787,309684,47952399612,47952399613,2299432628644842549769,2299432628644842549769,YES
801,320800,51456640800,51456640801,2647785882523137921601,2647785882523137921601,YES
